node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,21082,10741,9920,11990,20251,16132,22302,17759,10905,11293,8781,19350,11934,11509,19847,12499,13395,12888,13353,11039,13119,14925,11948,15591,14456,13189,12221,21457,14762,15316,17995,12899,10206,10348,10317,495719
1,18660,9041,10145,8552,7740,8555,14130,7174,9527,11687,6354,8783,7152,10406,9054,9548,9809,8756,2233,8211,7331,9518,6675,8593,12152,8477,8319,9213,10382,5232,10836,8709,8991,6223,12888,319056
2,11900,35923,9681,8335,7524,9367,8238,11771,3250,7348,5555,7251,14497,8651,8676,7951,10821,8444,9127,6072,8020,11444,6096,5934,7605,8692,7515,10503,10326,3839,14064,12139,4213,7733,6409,324914
3,13178,10206,31295,9366,8124,19000,5562,5986,8005,4144,3658,6325,8922,5795,9270,16846,8926,9078,8677,8755,8414,6051,5112,7404,11404,7784,8731,5869,9731,6795,9399,7781,5548,9673,13342,324156
4,7028,10234,9627,33478,11765,12330,7839,8456,5994,10403,4779,10134,11726,8058,3122,11958,6042,6082,4860,7153,6958,7897,13799,5655,5971,7768,8330,6877,7634,8331,11925,7838,2134,6782,10963,309930
5,11609,16190,15661,12357,25732,11983,6196,7923,5817,5211,10007,15465,5330,8151,3367,4818,7401,5797,8244,6433,7213,6999,3226,6667,8470,6923,5979,6077,5507,7213,2648,8848,6859,4108,7468,287897
6,23301,32310,19676,22725,11570,8500,32514,34620,32959,33995,24372,26786,36709,21719,10543,16918,10946,20130,13104,25079,3468,11583,20127,20774,23556,5382,15764,20295,8786,10372,12037,19149,20022,26227,14044,690062
7,9881,10091,12851,16808,10464,34841,31980,19381,24698,21798,24809,30200,31187,15614,17353,6986,23483,7875,17155,12962,22039,12750,10876,15791,6374,8896,5598,8713,11534,10613,20408,11448,21140,12990,10469,570056
8,12913,14794,16062,11799,37394,37509,38699,33383,24050,28926,26222,25849,42355,12480,15032,23347,9912,13907,11055,9323,15151,26627,12221,19071,7668,19552,4461,6241,19831,12628,12704,12332,8261,22304,16018,660081
9,19258,15743,10228,31777,26680,37175,37413,28710,28165,29902,22106,27982,61602,21670,20047,19734,9821,25818,8766,17303,19600,6348,24382,20468,9855,9356,21297,13188,8463,19276,9325,12758,11979,12186,10771,709152
10,23955,5924,35069,31081,34832,44068,50533,40540,41331,31641,39522,8345,58024,15809,7942,8408,9687,10527,9512,9996,13508,20044,16709,29943,5294,7930,12862,15023,14829,26710,13100,26218,22645,19598,16027,777186
11,9162,25480,22077,26289,31956,39694,42171,36679,27804,28870,12111,23597,43456,14213,22695,19204,20580,15911,23764,20740,7445,17097,8571,6288,24018,10254,12271,14640,6075,6983,11618,9685,14740,10784,18117,685039
12,30148,28141,26686,32820,43887,41316,52784,37717,31002,10501,28500,29689,49545,18607,10805,9744,16827,6157,18790,11360,9723,18364,8830,11311,22449,23096,6661,14615,14189,7328,19761,10370,10258,20237,14718,746936
13,24897,28051,31144,33706,25715,35601,36830,36704,5402,9655,17015,10551,62676,14759,17499,9366,11041,11097,11721,20279,9332,2375,17521,6644,16399,10252,23490,15690,3283,14704,10408,19188,15201,8932,17288,644416
14,26892,22334,27462,24800,24214,29262,27245,7628,9182,12983,8633,11686,58197,14967,8130,17325,5588,17965,9221,7724,3910,2573,11292,7409,15271,7179,17093,19620,15312,14325,7352,24332,9395,16666,22321,565488
15,45502,32961,25029,27708,22806,28436,11216,5893,7628,6317,7188,13895,40995,9385,14881,12029,14457,9398,17839,9513,22270,13249,10407,13685,14643,18813,14045,8605,27387,14897,21069,6830,14782,13499,18955,596212
16,21343,13964,12111,8201,11101,19447,4664,7296,10645,10140,18959,11184,12569,9975,9235,10065,7204,9746,6405,8965,6248,6353,6521,6716,3472,4693,4171,10724,10105,8294,8720,7374,5380,9464,12298,333752
17,25011,11240,9441,7664,3335,4877,9471,15921,6544,9116,15414,6843,6084,9320,7832,4189,9991,11544,5614,5261,4847,4648,7872,2798,5138,6052,8468,7169,2976,7524,8638,7715,4539,4685,12144,279925
18,19856,20257,12322,5963,5042,4169,8903,9836,16939,4192,16204,6327,6457,9518,7459,2116,9588,6854,6326,5563,7042,5683,4938,7556,6530,4097,4718,7733,5095,9041,6387,3042,4160,6809,7811,274533
19,15381,12008,27159,10130,7960,8084,7517,4807,5570,6487,6762,10581,13421,9083,4388,12794,9028,4764,6390,5605,5879,5505,5026,9388,7006,8574,7690,2995,12631,9187,6310,3722,9572,3549,5254,290207
20,6656,14793,17688,29691,8842,7199,7736,4856,10594,8279,8088,18551,8304,9112,6005,8491,6320,4199,3252,5229,4402,5222,3740,7585,6711,5270,4032,5642,6997,8811,5890,4131,4093,4122,6723,277256
21,35093,19306,24638,23446,21864,30899,18602,14980,9771,12238,11855,31091,7732,10328,12119,7114,11196,10607,16508,12321,11066,17306,7840,12223,17638,10393,7658,14546,12554,12857,9417,17217,12156,14550,27613,546742
22,19395,22937,17351,20014,16387,9828,24729,9397,9515,11215,5572,8087,37501,6097,10050,5603,10265,7603,7981,6856,6194,7184,8794,6920,10084,5342,8663,12631,10404,7987,11296,16067,10612,17176,12703,418440
23,48524,38176,43601,37843,50069,20166,62838,46112,25529,27123,25738,45392,11428,12172,17955,16030,24644,23708,21580,28312,26753,26483,35383,16854,10200,12342,13597,14195,10345,15683,11377,12558,13508,13685,15800,875703
24,37837,45401,35385,35733,39466,7820,16239,60901,22253,31178,23527,25262,4588,10582,13944,13661,15702,19301,18158,22314,17672,24269,24668,32532,7755,7359,7316,8032,7809,8074,7051,3944,7526,8068,7506,678833
25,27319,41465,36138,36071,43503,8715,8416,11295,32321,31648,45030,28170,7180,9714,9514,14738,16443,20466,17783,15746,21803,22413,26998,26127,32298,4407,7371,8594,9229,4210,9299,10084,9252,6136,7903,667799
26,25438,25814,38657,46427,53471,4948,8666,10383,14653,39337,33491,36946,6388,9683,10866,10258,17379,22370,18941,13872,22022,26832,25848,28404,34251,35791,7690,4486,9136,6516,7817,12454,5816,6387,9444,690882
27,42058,36773,32385,57172,58292,9368,7978,12699,12918,21235,36427,39017,3844,9187,10294,10800,12172,15867,19641,22593,18105,23678,37330,27976,39112,34789,47679,6911,7857,6039,7850,8486,6744,10457,9495,763228
28,44917,34331,40931,45058,78252,11869,9715,14375,14492,15975,15873,43377,12795,6620,16974,10551,12005,11186,20314,18349,23451,21559,21312,40971,31611,44073,44584,57341,5901,16105,12115,5548,9378,9733,12554,834195
29,15273,11972,9890,11817,11660,21434,34303,38530,34505,32084,30550,34207,55802,22603,8732,14931,5260,15692,20652,10268,13264,12196,19068,19378,16799,10048,13901,16574,3460,10019,15600,22470,14135,18079,11131,656287
30,16090,13304,14438,12818,10695,30307,35629,28446,27794,22495,30631,33118,56805,29933,34793,11438,30075,12116,14830,23304,8815,18065,20995,15942,16107,12055,14062,7918,8752,11548,32941,9058,21536,22033,12184,721070
31,20310,14867,18157,14362,32011,48534,41210,28358,32686,35821,29105,43184,59762,15239,22379,44900,19283,14479,17569,12766,26688,7752,15531,19285,9837,22692,13249,8089,20353,12758,15195,11484,8905,17189,16944,790933
32,28204,21673,19960,36760,32166,51251,40958,38363,46592,40728,40106,50286,64275,17120,30522,18955,30303,26939,10709,15635,17476,8803,5880,27655,12882,7568,19064,18109,12922,21212,8581,15913,11794,14697,13440,877501
33,33108,22525,34569,33680,47403,57710,46576,50163,52075,47357,39861,19531,55351,20220,21490,15748,23154,23512,13229,12081,18342,7945,17203,10058,9681,8322,16589,11972,21808,30691,17188,25630,23991,30378,23572,942713
34,37536,30733,35507,51432,47213,53442,49763,48837,39738,43725,17584,23755,58996,17806,21652,31277,28767,30347,43256,18687,16258,14262,11741,9579,7607,18384,11835,10454,12934,13921,8444,7358,10307,18180,32494,933811
35,42625,40931,48974,61284,53302,66985,63054,59120,44298,20465,19193,21491,100109,17023,15071,16366,25019,21742,35387,32641,14978,21171,9004,13519,22153,4107,15747,19173,19306,14972,33507,16978,14582,38197,31060,1093534
36,39529,38798,46725,54107,50304,72810,58802,55066,21766,16381,20740,36805,92977,20680,19722,16175,24645,18799,25130,41190,31573,9778,19416,7023,21784,15327,7053,24026,9037,14152,14883,16763,23017,20923,44570,1050476
37,44766,48526,58749,56830,62134,76435,66332,34665,24103,31495,34344,45592,84404,25565,22695,22970,16657,34530,23391,26053,24277,41788,13087,9330,17293,14931,15099,6179,20907,13646,9602,19227,9022,18690,16231,1089545
38,41790,50768,46584,47493,49369,68594,46162,31612,32849,35488,42267,20835,62403,26843,28272,23525,30839,19468,22707,22891,32692,34139,30790,12591,9741,17338,12844,10530,9902,19739,21547,10906,16919,17630,17580,1025647
39,43709,41360,34244,36528,36400,53940,41928,30593,37503,38108,19790,28178,17346,14203,23336,27237,15418,17343,20369,20380,19841,24220,32417,33837,5854,8313,7682,7962,8665,1028,10825,6337,10298,12529,9916,797637
40,22505,48061,42532,43651,38812,46824,53355,45779,49468,46496,12170,23961,13430,17235,14301,23800,26243,25436,17781,17808,19920,26731,26934,30596,42478,7073,7017,1376,7942,7026,5349,9046,8542,10749,16002,856429
41,15769,18334,44504,38635,33621,38681,47612,58057,49197,54310,13933,25387,12347,12060,13229,20085,22142,27222,18692,22935,22187,26016,31395,29013,31773,37597,5320,6638,6579,6392,10716,4741,6889,13586,15183,840777
42,23903,20667,23902,37137,35902,33650,40631,52455,74705,64790,21574,43836,16778,12956,13798,19724,17583,22860,27680,28670,22988,22339,29002,26260,28185,40326,41546,8660,6674,5544,9275,5872,8166,18586,9863,916487
43,23959,22448,18061,29312,46448,40065,40278,61259,64938,64452,21423,45911,20829,8842,13679,16944,18018,16618,32066,40983,15691,22463,26404,33180,26703,36417,50165,53246,6398,9657,5082,10639,5462,17666,25521,991227
44,31186,25691,25062,23960,28995,23980,26226,25065,20522,16584,23948,44236,17950,15308,16916,16464,16197,21620,25177,21817,27132,12915,10520,9965,7148,5887,7897,6872,11252,12807,11760,12183,7129,8328,33124,651823
45,69094,50137,46223,38047,38765,54038,55514,40762,29771,25379,26760,29113,51868,13622,21069,21854,25419,23420,20370,23187,27826,29419,14347,15011,13079,11712,7396,12773,4637,15878,13277,10250,9021,11338,11821,912197
46,17263,43482,13219,52290,19792,11212,72127,10926,40375,13248,38059,21148,8388,23015,14233,16498,17143,17226,9376,14022,8704,16246,12298,12144,33150,32635,26134,36421,38246,8416,10654,10350,11663,9705,7787,747595
47,11851,5525,3518,7864,3082,7834,7025,22051,13706,14081,15522,19664,5845,7218,15214,9083,10509,13248,11121,15419,10558,12216,9731,7207,7801,5483,4566,7664,5073,4394,8887,7940,8125,8539,6577,334141
48,48457,17466,8104,47423,10044,7402,24448,13534,66587,7688,31876,13768,4579,8402,14194,11068,11468,14855,15813,6665,4366,4427,6527,4854,7020,35729,31838,29584,50574,43489,10166,6329,6700,6295,5012,636751
49,17606,20438,16851,15186,6832,7543,7880,7085,8475,11107,16759,23740,9749,6911,9992,9552,17402,11403,13055,13467,12571,11441,13020,9534,2985,7485,10196,5008,7157,11028,6433,7902,8000,9107,13964,386864
50,44017,16837,52493,14217,16942,9294,37106,15426,30891,17216,46344,14037,6184,10452,7713,17243,9634,14676,12096,16786,11031,11650,7963,6377,7709,7151,54607,38547,32952,53815,62167,6488,8452,8990,11576,739079
51,23282,18049,16040,25971,27970,11560,5280,11886,12809,8876,10532,18608,7813,9563,12905,12756,15010,13607,10336,25326,13347,8531,16853,18321,9110,10183,9842,7466,5292,6624,6101,5969,8040,13014,11648,448520
52,13614,5347,4895,3853,20135,5452,24485,32923,25615,41666,26334,24776,64718,11936,11874,13770,13715,23171,16458,6198,11351,13801,18866,15157,15662,10187,10802,4739,6266,8492,10025,23312,9685,15547,11393,576220
53,21730,22223,24916,22759,34980,22690,30659,32156,35270,28892,33592,42445,60135,14926,25286,9464,12630,14992,19277,22777,22384,26258,19608,19602,30008,10693,10442,6550,19125,13254,18172,8014,17375,13663,19497,786444
54,11555,7894,17427,6395,25419,39439,36623,32051,24452,26640,31516,28248,53673,20184,5871,22608,16185,22141,13473,7441,20669,8117,10399,14718,6148,19283,10325,10519,6253,10429,17003,15229,7039,19313,15166,639845
55,24700,31973,32775,23237,56801,32681,43059,41756,37096,46411,37996,47106,59468,11491,22734,9226,13000,8644,16874,15674,23861,18874,13356,34620,18313,20176,22974,13050,8279,27260,8489,13459,14234,30592,17752,897991
56,24711,6574,23376,23741,34578,33240,38111,45812,38726,30223,32347,11990,73159,13064,15985,4945,10281,8378,11885,10417,15514,11413,12707,9680,8568,8465,17607,9952,21091,1948,16733,21247,19247,21084,15663,702462
57,39617,19484,53828,24446,61104,35700,40383,51234,34489,46031,16407,33816,58364,10109,19354,19782,21837,14233,11946,24707,27266,21108,25297,21899,15071,27101,27355,13880,9658,7000,15114,8327,5772,20149,29566,911434
58,21094,19920,26417,32083,36228,32502,48101,42410,29584,12643,13219,9166,80790,12336,7565,16344,11177,5347,17885,15035,14246,20261,6556,5447,19875,10476,7993,24095,15073,8061,4564,15110,13466,18654,16768,690491
59,68919,24790,73123,35696,86173,41101,41107,57104,15488,38717,16818,39214,65980,11582,14012,10285,17589,8573,11932,9829,15005,10714,23758,33137,32162,24857,27181,63618,8912,10934,13297,23083,23322,16449,20299,1034760
60,28168,33683,28777,29111,31869,36856,38934,11273,9365,11948,12725,19986,70444,15452,9758,19967,18679,18803,7047,7299,9609,11781,13203,9053,15724,14392,15572,4398,15619,13895,7571,10084,8610,25746,14206,649607
61,69506,23532,74093,30649,76500,33219,10425,35376,12429,35080,11864,27138,42604,15288,17542,12386,18483,7653,7671,6705,11148,13759,16128,17915,39812,37553,29745,31804,41978,12430,17221,7453,27264,17172,20094,909619
62,8698,5714,7837,13774,9132,14920,7509,9326,11219,5525,21627,9195,16925,13097,13577,12054,11550,19292,8982,5573,6644,4727,4165,6978,10145,3548,4260,5726,5762,7832,5785,5752,6990,7228,8783,319851
63,35966,76941,9783,66639,12540,72069,18421,12146,43640,8328,33751,22286,10838,8150,12968,12025,15558,11993,6597,5964,3937,13472,16405,19692,19014,39789,28064,30667,27886,36429,6836,6698,4367,24677,14394,788930
64,16335,6710,8368,13424,9175,12723,17939,9648,13014,7990,15685,9326,9718,13603,12672,12390,15918,12054,12515,5448,9748,3304,6939,4344,7130,4256,8753,9994,7504,8777,6137,11461,6551,13471,9262,352286
65,25731,17287,31476,48451,9156,56308,10651,66467,15774,10281,27806,15988,8762,11687,10083,11817,12531,12621,14009,10899,6601,4505,15847,16230,16158,18321,48807,27898,22572,38989,49174,4389,6679,4724,29622,738301
66,12031,8482,18560,7621,10149,12178,10070,11061,15970,16057,11778,15083,11392,10265,15151,14871,11683,10683,8713,7648,9743,5588,7804,9655,7905,4924,7795,5919,5443,7125,5818,7896,10663,7507,14997,358228
67,46969,6766,43324,16601,46619,38347,10592,69506,12635,48038,9258,16067,14363,15442,11980,14961,13704,10513,11991,8128,5960,6923,4905,28045,27259,28587,29947,33804,10456,6179,7258,7130,11001,8142,6622,688022
68,28432,11754,10818,8283,19160,8589,10443,20378,13909,12732,11611,17319,58203,13837,22429,13950,19788,11147,14063,14005,17918,14997,12652,14401,9094,13503,13101,10990,8366,9843,9005,10301,10094,11108,13689,519912
69,14042,14546,50089,15891,23641,10505,63135,23265,15427,48144,13458,26588,10516,12348,14142,16288,14261,9499,11612,11641,15394,19070,17250,24579,13914,16487,9370,9275,54687,39823,62578,11061,13164,21682,12134,759506
70,15148,5328,9191,7860,5160,7091,11067,17152,7310,15144,16909,9681,6275,16702,18502,11730,8647,14839,13023,7266,6052,7938,6443,9658,11614,3724,10645,7778,4292,9243,11487,10305,4170,8962,7766,344102
71,16263,12948,8055,6519,3769,10289,16152,5935,13593,15082,6887,21754,6021,4844,6584,10698,11062,10164,9175,4793,6331,18340,13185,14002,5837,5303,4866,8246,7924,7252,4573,7940,6456,6625,7149,324616
72,54577,12112,19463,8537,19636,6860,17335,52588,11095,35841,12011,21656,6865,5914,5707,12758,18310,9421,6854,6264,9068,18327,20399,14718,25623,14858,14176,9209,5355,54519,47564,67365,9349,15835,17962,688131
73,22366,14229,9304,17180,3690,9857,14551,4320,10585,10676,9287,16380,6268,9599,11046,7612,9970,4434,7437,9635,7946,7525,7416,9649,6969,5796,2559,3847,7037,4708,10330,9494,8592,12410,14593,327297
74,20311,7725,15132,21595,14440,8616,9808,9770,6326,16198,8033,24548,9565,9205,7594,7968,3218,15234,10603,8681,9484,6361,13973,10638,12893,7225,5794,7654,5072,5391,9569,4473,7286,8546,11982,360911
75,23799,6622,7191,26889,6335,10918,29688,33851,42556,30990,31521,37862,56188,20137,11455,12491,8124,21373,14237,8383,13598,8040,4447,17725,8391,15420,18165,23103,5138,11838,13271,14212,6760,19291,11650,631659
76,12642,3649,23774,12084,6785,26029,33818,31202,27669,29932,37711,26554,54219,13425,28483,19369,8803,10646,16128,8290,9938,14603,7818,20975,9649,8014,12872,10375,9769,10234,7169,7100,18856,17447,10743,606774
77,16052,28770,5625,19345,21575,33859,38051,38759,26385,41217,34367,40496,64473,12554,7942,7692,13133,18601,12617,6701,18483,3866,8723,40433,18568,24146,6585,7743,9449,10612,8956,11025,9220,34590,11903,712516
78,27797,8655,14938,38142,27604,37118,39095,37664,43168,28911,38411,58480,60058,12855,23342,13208,20197,7627,17908,18979,21390,13434,3196,4517,6850,8276,35287,24811,29845,25269,7007,20306,6741,15095,17074,813255
79,12707,11113,19709,32981,26656,31650,37664,48151,25783,33818,43223,11311,73754,13145,4794,9360,15906,12537,14655,11533,11963,11619,18449,7393,12039,7874,11723,13139,18861,6925,20693,7822,22818,19427,24432,705627
80,17993,20141,24458,41735,31597,29377,52137,33984,33551,40407,12649,10301,56230,8315,17134,21627,6744,20930,8261,36562,15416,22988,8296,10403,22768,26446,18458,5636,9979,8012,8005,4322,11304,13952,28602,738720
81,63344,22406,33492,89897,31697,56104,48013,56367,70653,9398,19745,40659,60354,10517,14662,17812,11511,9495,16982,18634,19415,26062,13820,8225,2592,6541,13193,48329,40852,40251,5026,14839,25464,15571,10004,991926
82,22105,20731,26562,27440,20200,34133,32199,36501,6915,6801,12936,8861,65279,10204,19048,2856,11258,19007,16064,10119,9383,6756,11582,6092,12302,10124,7214,22189,3208,7155,18826,15955,5835,16111,10223,572174
83,36655,28074,30493,55075,41439,35509,46233,10448,5704,16940,10896,20293,61415,13947,5875,24060,3135,9222,12772,10619,14248,17362,16896,8636,14108,26861,24280,21082,8137,9307,7467,3393,8403,27137,11861,697982
84,78109,25124,32542,71207,29373,46969,8881,22169,41704,10492,36402,12999,74454,12347,16249,10819,17390,9167,12419,7280,14896,25553,14213,17411,12097,4775,12059,6564,43712,45308,51880,5002,12173,22408,23874,888021
85,10368,6889,15651,15575,4417,9979,9639,10257,8818,17619,4416,8045,9363,9404,12263,7964,5959,5975,18555,11780,8776,6497,3891,12500,5758,4722,3321,3497,3241,10613,8216,6399,7125,14120,16969,318581
86,22209,20567,21453,12261,35377,10011,8483,10452,9673,17638,5202,16055,8446,6846,10144,7331,11137,7490,5423,5828,11478,20644,14573,15644,3887,7456,14515,15441,21930,6979,6383,11170,7557,6009,8230,423922
87,24511,11336,45821,10070,14553,49791,6982,21281,9898,25009,5340,22374,11100,10901,12590,11326,19115,8424,4827,4555,9451,11631,14799,16037,15500,6688,3741,6792,9787,43114,43095,58784,7552,3708,27778,608261
88,19307,8742,7324,8384,3850,19448,15137,9566,11429,17399,8553,13748,5915,13186,13179,9497,6524,5637,8199,21180,16584,20023,7594,3311,8601,2003,7362,8970,6691,6092,9231,5122,12200,5302,17726,363016
89,45864,10934,15019,41403,59480,23869,13793,72803,16505,18910,10499,28511,8949,14649,10859,6645,8621,12014,6229,16532,18431,12206,17994,15836,15893,5926,3138,39789,31395,46543,8004,7721,3736,5430,7588,681718
90,11007,5736,3035,14813,20109,14525,3469,3777,10058,4966,18035,10772,10794,13566,12967,10986,8191,12787,7065,9868,6700,9640,8083,6539,6391,12115,9939,5703,9698,10571,5979,9685,6784,7363,8243,329959
91,39748,16393,8090,16921,9270,5012,19612,10567,23375,14838,15267,11078,45189,11642,17135,14191,12190,10264,13570,15732,17310,19988,13584,10965,12483,7288,12561,13661,7366,10303,8172,10954,10219,9743,7517,502198
92,7825,18507,12915,5126,10498,13888,23804,11165,15830,6841,17170,21990,18696,16516,15061,13565,10419,10475,13471,15053,9588,10475,10774,11960,5872,15896,10337,12517,11868,17756,8032,6952,13189,13963,10859,448853
93,16198,12357,5881,9045,10893,7666,9300,8584,8969,22577,16068,13132,9023,7722,11681,6862,7434,5410,4840,13866,8656,5824,8827,8648,19918,17633,25276,11214,14504,4767,6932,7576,6837,12002,13660,379782
94,16796,24472,12752,11517,46489,14926,14566,20768,10924,25735,53947,14141,6634,9731,10319,16024,6198,13285,5725,12475,16945,9473,3000,3191,1024,25240,23122,7448,6878,4290,63797,38474,55705,9494,12422,627927
95,5330,5603,24067,3219,8134,8780,5395,4055,11751,3289,13949,17203,2451,6293,4638,11244,7145,16630,6791,8613,9567,6706,7740,7345,3927,7482,8805,8989,6737,8793,4583,12157,6722,13313,5234,292680
96,14326,5276,19117,15144,3601,5140,10333,4489,4746,10783,15491,11182,3708,7202,6909,5998,9343,4934,6519,13529,10592,15619,11318,11395,4894,5793,7812,4686,7700,3077,8439,7024,4321,17632,7513,305585
97,11738,37308,25663,7875,20812,4775,5445,15537,9694,11582,17683,12988,9442,10741,9013,9171,8460,12747,4418,10022,9772,11392,9283,14679,6040,30131,15852,45242,17381,21944,3829,9332,5612,22694,12503,490800
98,2249,3047,16744,5978,2158,12479,26912,24883,33909,31341,23581,23822,57675,14704,11989,16293,10291,18454,21560,4452,7403,12379,11072,11388,8055,6965,10521,4807,3798,5746,6127,5379,6041,20493,11138,493833
99,2796,19409,9156,4897,10087,19806,25306,23397,24923,23168,21920,36245,47010,12934,8227,9785,12259,9166,16510,10688,8634,18162,9515,16735,13740,8386,9427,7863,13442,6922,5542,9550,15705,15760,9399,516471
100,20906,4756,20108,9013,19026,29839,33754,21752,29265,21855,35395,23357,56158,18150,8315,9277,14712,14874,14884,8217,15653,8813,23041,33074,19988,19279,5997,8779,5891,13697,11377,11965,12126,16990,12371,632654
101,10619,12603,37575,18376,25112,43264,39947,41510,36678,37897,23111,34502,59567,9831,21017,15273,17506,7345,16384,11440,12375,12923,6495,9613,11000,5752,16878,13537,37957,35666,26138,11867,15658,11826,17313,764555
102,5923,14291,19907,21548,18931,31663,28670,27507,33813,31679,18804,5512,56077,20087,7241,15846,4387,18260,9001,5405,5835,8741,15862,11073,8406,9686,12774,10846,16752,6154,13243,5040,6658,16110,19466,561198
103,13628,20059,29398,22428,30322,28598,43251,47825,30850,37197,5664,24557,65525,12294,23152,10865,4949,23996,8703,30415,12821,18043,13066,12134,8681,25204,13026,23776,9799,8023,6995,9147,5266,10959,14589,705205
104,15974,19529,39877,34055,23526,29724,55573,33258,38638,4194,23224,8075,70452,6089,5209,10815,12398,4461,14624,8954,7481,11473,14632,28135,14642,17204,5573,26416,13537,6884,8530,11150,12102,27516,10429,674353
105,21757,34128,107879,18806,31871,46212,30801,40296,32587,46729,8926,18278,56892,10371,21023,3918,10373,13225,14298,7671,7845,3708,17559,12869,25682,19723,3297,25995,18858,57857,37165,54977,3515,18756,13369,897216
106,20564,26289,21098,28710,24929,35980,31600,2812,13920,13303,5752,14015,61388,10368,11988,17466,19448,13999,16291,9079,7739,6883,13026,9726,11536,14643,15673,3930,9481,17950,8164,7179,10091,18345,8752,562117
107,22678,17543,29569,22403,29508,34666,2890,12764,10497,7795,4081,30139,61185,12798,16719,15257,8857,8187,16099,7502,12868,9096,16855,8386,15911,5166,6373,5496,5104,22425,13477,9000,12201,6111,14341,533947
108,3588,5454,19705,22865,4269,7513,14609,5741,7929,6333,22009,10979,15900,7189,7670,7232,4750,11212,8068,9545,7433,6829,16286,13535,23987,19249,13800,7306,4714,10131,1648,8980,2703,3627,10493,353281
109,16049,14000,27227,87744,8876,10602,27564,12581,12775,27145,28652,16469,8454,6538,9876,9910,5815,9932,9107,11245,10176,3677,4659,9134,11186,23274,18323,3283,43716,22213,70185,36056,54756,3245,18044,692488
110,6086,6106,3384,16288,15332,6066,5168,13095,6150,1802,17626,10790,11627,14544,9826,11531,11111,12665,5990,8094,8631,10423,4271,7067,6956,7734,6020,4436,5762,8864,6916,5358,11322,2614,12414,302069
111,5478,5241,19937,19993,5171,13956,3850,15775,6412,5332,18535,17390,8524,12095,9194,11587,13699,11339,15909,18393,11207,18068,4901,10570,4554,8641,8709,5196,8936,7026,7543,6398,11219,7551,5230,363559
112,6957,7668,21802,3828,10384,6991,17521,17795,4391,5506,17703,16528,11293,7943,11028,8583,5080,9154,9008,7016,9157,8405,7601,24412,14064,24239,10125,15668,6556,5490,5642,7503,8049,8017,7720,368827
113,9023,26662,63996,9814,13396,15747,23095,92392,10034,15401,32846,23191,12738,9339,7777,10506,12690,6379,19732,13913,11072,7840,4448,5222,25593,22215,6076,2750,6615,56639,39516,41861,9449,9243,3666,680876
114,39683,14615,20615,14312,6597,10768,10438,23731,14645,9684,10941,21868,37281,12973,12173,11256,16302,11962,13738,10422,9160,10944,14548,16259,11897,8683,7874,11766,14943,7290,20853,13574,10829,9130,10985,502739
115,38408,9357,13488,9100,11775,17929,11474,16878,24670,6715,13297,14113,10943,12474,15887,13776,9935,18499,5848,15414,7690,16743,10790,11222,7597,11466,3811,11958,11600,14892,14081,12137,9055,14427,14869,462318
116,20913,24057,10827,36214,18248,9324,20517,14169,59490,16535,10364,42422,6748,13010,12587,12343,5156,12696,11405,7931,8262,7629,13179,17285,4527,12931,4705,17586,43692,22160,7436,54149,73499,13371,12661,678028
117,10030,25577,4887,3490,15241,9663,6153,9982,15010,16735,8175,11101,6954,6549,9401,11299,11241,8156,14318,13822,8272,9585,17630,12662,6185,9769,6160,5066,4486,5802,7282,5642,6653,18492,13374,354844
118,8280,20204,13609,2913,6477,10297,7013,12821,6830,4618,20522,15202,9868,13341,12481,5791,10296,8770,18099,11825,7919,4540,2020,9318,4675,6601,6319,5574,9553,10912,7105,4885,8287,17934,7332,332231
119,12861,22495,11983,12298,6557,7241,10513,5354,5806,6658,5591,35957,6135,5794,4355,8624,12185,6321,13586,6236,7896,8203,4255,9068,14507,15047,7588,30426,19392,5665,6376,5848,6567,19020,10375,376783
120,17883,26849,5234,10499,10561,6922,7406,9382,5915,8991,32234,11041,8897,6205,6045,9943,6898,8162,15795,14759,7250,5495,9564,5299,10116,5900,7652,5735,12617,10443,7636,12569,8918,14365,11695,364875
121,9060,31368,6664,5980,8577,11093,28036,29838,35261,21404,42441,28682,48669,14812,12964,11311,8943,15133,4843,9812,11347,8241,4793,20327,9320,9840,17002,3664,12615,29193,25696,6228,21250,15849,7720,587976
122,24513,16461,5914,9310,8742,21614,24868,28096,19862,37916,17645,27879,61954,12446,6570,10017,5860,6036,11023,9644,15391,17450,9250,25248,16418,9340,8735,7198,8475,5621,3558,6690,11169,11458,10837,533208
123,6151,15121,6309,7696,25145,28213,32603,22117,43007,20368,27142,29616,66120,13305,21830,10614,23893,15580,10088,7437,7930,6531,7060,7974,4062,23004,5304,6067,5433,8058,11450,8369,6832,12429,21702,574560
124,8472,29226,11084,22252,21283,27063,36760,45324,28874,26989,24283,42550,47532,7827,6408,11215,11304,6458,5152,20545,19316,11352,5716,2088,9297,26543,14859,6381,27237,40576,4198,14784,6941,12801,22799,665489
