node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,10,15,0,14,3,13,5,11,24,7,0,10,0,4,9,5,12,26,2,7,6,1,9,16,1,11,8,0,0,229
1,11748,69,88,88,54,735,45,102,58,33,0,0,10,20,12,0,0,21,10,10,14,0,16,10,10,10,168,10,5,13346
2,458,6684,105,25,18,95,116,13,61,103,5,55,95,22,25,10,16,31,85,14,10,6,21,26,31,5,199,8,8,8350
3,356,595,6205,51,20,52,26,0,53,102,12,163,42,15,8,28,10,13,4,13,9,0,10,49,89,85,73,45,0,8128
4,356,182,9,146,66,11,62,0,10,7,0,320,10,4,0,10,7,28,0,8,6,95,6,34,43,10,81,0,2,1513
5,300,201,34,15,24,280,164,79,33,114,98,10,13,0,0,5,82,10,10,20,0,0,0,3,0,19,143,1,7,1665
6,1487,266,106,147,116,103,21,2,5,29,88,25,8,2,3,7,13,11,0,5,6,24,13,22,7,19,145,8,15,2703
7,153,60,32,71,104,30,81,7,6,12,132,4,0,27,26,10,5,0,51,30,5,0,7,8,4,2,174,4,19,1064
8,57,18,71,15,12,12,2,31,6,0,143,12,0,8,8,0,15,23,10,32,0,3,2,9,4,19,7,8,44,571
9,35,17,1,8,8,36,28,66,16,35,52,5,4,10,11,22,9,5,3,8,61,15,14,72,1,6,21,0,3,572
10,39,0,4,10,44,82,64,11,14,37,56,37,0,19,5,5,13,0,6,12,20,15,6,5,6,9,10,21,0,550
11,23,21,35,1,24,74,12,48,32,11,44,106,35,23,6,61,53,4,14,3,11,18,13,7,0,25,6,10,12,732
12,8,19,11,51,44,4563,100,107,144,57,26,25,0,6,10,7,9,19,9,31,17,0,4,34,17,16,10,15,12,5371
13,11,0,6,27,1,271,550,384,102,4026,15,0,0,10,1,0,0,7,0,14,3,0,4,0,0,6,26,10,0,5474
14,234,1,5,4,0,21,91,525,102,917,10,24,9,170,133,0,26,0,0,6,131,4,34,20,16,6,103,0,12,2604
15,178,65,10,6,0,32,40,16,18,991,0,85,10,166,17,0,0,38,18,10,58,49,0,39,2,18,0,15,3,1884
16,186,87,32,7,4,211,1138,200,35,69,11,69,134,0,20,2,0,29,0,20,74,10,20,146,9,23,0,12,10,2558
17,241,81,11,22,4402,68,5,3,471,45,118,138,44,30,17,11,16,33,15,19,146,7,11,35,37,21,38,71,23,6179
18,102,40,6,5914,0,77,9,5,5,12,30,223,3,66,21,13,106,30,19,84,33,38,39,62,25,11,39,32,72,7116
19,27,41,20,61,18,17,16,23,31,32,11,15,18,15,27,16,8,32,18,22,31,25,14,14,31,23,26,17,40,689
20,16,7,5,9,0,6,14,15,24,15,0,32,16,14,3,18,7,21,14,8,8,2,3,43,0,7,14,5,6,332
21,16,4,12,20,0,1,20,20,18,27,16,28,20,4,18,0,7,6,0,5,1,13,18,8,0,0,10,0,4,296
22,5,4,3,9,11,12,0,5,18,27,14,15,7,99,10,34,8,23,22,9,13,9,4,29,10,16,12,24,9,461
23,26,14,18,7,0,14,0,4,3,18,0,0,11,14,46,15,8,20,0,23,5,3,3,18,42,16,18,4,30,380
24,7,0,14,0,0,92,12,34,22,24,74,2,25,17,0,122,18,7,5,0,13,24,25,5,4,20,7,0,8,581
25,0,12,7,4,76,22,57,61,4,52,55,27,18,10,0,13,51,12,23,21,8,19,6,9,19,5,30,23,23,667
26,16,2,5,20,33,50,42,16,9,44,40,0,37,16,29,0,11,145,6,19,2,12,13,0,8,5,7,23,12,622
27,25,6,44,22,30,39,23,25,12,21,139,3,15,12,17,3,17,9,60,0,3,32,1,24,47,9,39,57,29,763
28,23,29,6,7,6,81,49,30,0,15,133,13,6,12,10,14,0,4,0,114,10,10,10,45,1,3,27,3,11,672
29,48,14,7,33,42,23,11,20,6,34,99,2,0,18,304,41,73,38,56,1,81,10,28,0,311,4,56,5,10,1375
30,50,15,52,21,35,16,4,11,7,5,37,32,3,23,2,11,75,13,17,10,18,79,5,9,3,4,4,15,10,586
31,25,9,21,23,29,1,0,23,12,5,37,24,19,11,6,23,0,14,7,9,19,5,67,5,18,0,10,8,25,455
32,28,1,24,9,20,4,19,1,0,23,3,0,13,13,13,5,10,15,44,0,5,17,20,94,6,14,0,0,5,406
33,10,6,5,11,10,3,17,0,0,0,0,10,0,13,23,4,8,6,25,38,8,10,0,0,60,0,14,6,20,307
34,7,0,15,26,21,24,4,10,0,16,10,17,0,30,22,16,33,13,0,41,13,4,3,15,2,58,21,10,0,431
35,18,18,1,5,17,12,0,3,12,13,13,15,30,10,15,10,18,22,8,2,21,24,7,8,6,10,53,2,5,378
36,1,3,0,5,12,0,0,0,17,44,14,15,22,9,13,18,32,0,0,2,12,8,15,5,12,0,11,39,8,317
37,179,3,0,17,27,54,0,5,10,4,56,31,2,11,20,9,109,36,0,2,0,13,69,0,38,28,46,39,183,991
38,47,17,24,25,28,38,23,19,47,9,30,65,27,46,12,33,44,30,33,18,3,38,15,29,27,47,55,31,21,881
39,11,0,3,10,7,21,7,16,18,29,6,0,0,5,18,24,20,3,13,15,68,24,5,10,50,14,11,27,3,438
40,20,10,4,3,0,0,11,0,12,12,14,52,3,18,2,4,3,10,13,12,3,5,10,13,18,0,15,0,13,280
41,0,19,8,10,4,6,16,22,0,11,5,14,10,14,15,12,10,15,0,4,0,20,11,0,13,0,0,14,2,255
42,26,3,10,6,3,16,8,3,0,2,10,14,68,22,11,10,8,15,1,11,3,13,5,10,3,8,20,2,25,336
43,11,12,0,0,3,6,70,12,27,22,86,9,12,0,17,6,18,10,0,17,7,18,63,12,20,0,12,18,5,493
44,10,20,10,0,20,123,4,27,11,19,68,5,11,118,29,2,1,129,13,45,45,0,10,13,0,18,38,28,0,817
45,21,2,10,36,40,9,53,19,34,35,99,1,36,112,0,260,48,208,13,16,3,35,57,166,77,17,32,20,15,1474
46,3,0,12,9,10,10,41,13,7,8,102,26,2,13,107,20,0,23,0,6,7,20,23,12,7,2,3,19,8,513
47,20,20,5,21,24,27,59,20,29,11,88,5,13,43,11,0,5,0,10,1,5,17,28,24,128,25,25,3,9,676
48,13,8,38,6,29,35,84,11,2,21,138,17,23,2,2,52,28,7,12,0,3,0,0,3,12,0,7,5,26,584
49,14,26,6,48,18,95,5,0,9,10,60,37,17,16,2,10,2,17,13,31,19,8,36,18,9,43,10,12,17,608
50,13,38,16,9,53,0,17,20,14,17,186,26,0,33,6,14,60,32,12,0,20,1,15,4,13,10,11,4,2,646
51,16,7,16,46,15,9,11,0,13,43,20,15,3,8,14,27,21,14,5,19,0,33,11,15,11,1,150,4,9,556
52,9,10,3,13,7,26,39,12,11,14,29,0,2,10,11,25,18,38,26,11,3,40,3,29,11,4,7,10,9,430
53,9,19,3,19,0,8,6,11,3,5,16,0,4,20,13,8,4,21,34,30,6,9,23,22,32,4,4,43,18,394
54,13,2,0,6,0,0,12,27,11,10,5,3,25,22,43,11,1,0,80,25,7,0,8,18,16,0,19,10,14,388
55,15,0,11,10,4,27,5,4,22,110,4,3,14,24,18,20,16,7,0,10,29,12,34,23,7,11,8,11,54,513
56,267,5,15,6,0,110,20,23,3,56,38,0,7,28,2,14,62,24,24,54,33,21,4,87,51,21,45,0,37,1057
57,2,8,29,67,16,22,12,13,5,14,35,12,13,6,6,8,23,18,32,14,12,21,11,16,14,11,10,10,7,467
58,2,0,0,4,0,0,0,10,10,8,4,10,0,0,0,1,4,3,12,4,0,7,8,2,2,6,1,0,0,98
59,0,10,17,32,2,1,22,3,0,23,0,0,29,6,3,6,7,72,0,8,10,11,3,0,8,8,10,2,19,312
60,5,1,9,40,3,6,13,5,12,20,2,169,11,8,13,3,14,2,4,6,6,0,19,11,0,16,0,6,6,410
61,0,0,11,2,14,0,10,0,10,49,26,13,7,67,21,7,4,23,0,45,183,0,14,18,124,10,57,3,9,727
62,10,10,7,30,5,22,42,34,22,39,46,10,0,20,1,33,5,4,87,15,16,24,8,11,0,14,25,15,5,560
63,4,11,30,9,22,6,34,25,39,68,36,7,20,13,3,23,0,7,4,29,32,19,0,16,20,0,11,7,4,499
